epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0453,0,67.7457,0,0,0,0,0,0,48.671,0,2e-05,2e-05,2e-05
2,30.573,0,67.5667,0,0,0,0,0,0,48.7385,0,5.406e-05,5.406e-05,5.406e-05
3,42.9919,0,66.7326,0,0,0,0,0,0,48.7838,0,8.02e-05,8.02e-05,8.02e-05
4,54.9987,0,65.9806,0,0,0,0,0,0,48.7898,0,9.842e-05,9.842e-05,9.842e-05
5,69.0691,0,65.2986,0,0,0,0,0,0,48.81,0,0.00010872,0.00010872,0.00010872
6,83.0099,0,64.7313,0,0,0,0,0,0,48.8559,0,0.0001111,0.0001111,0.0001111
